,title,comment,score
27,wish zero star…,completely avoid scammersthe worst dont even read complaint properlythey answer want toi said account says £6 left cant make call asking top upwhere money put take stupid promotion talking aboutno problem cant make call recharging contacted one agents said would sort outthat means acknowledge issue scammers,1
28,good voice quality,using service make calls hk uk voice quality good competitive rates usage high,5
29,love,best app international callsthqq keep atteched family,5
30,cheap easy use,cheap easy use thank,5
31,yes product nice very…,yes product nice easy make calls outside country inside ofand cheap guys,5
32,excellent reliable international…,excellent reliable international call app,4
33,easy cheaper call croatia,easy cheaper call croatia,5
34,used call direct back through…,used call direct back verizon paid 500 month finally goggles making calls thereafter never got disappointed rebtel 💯🙏☀️,5
35,using rebtel past months,using rebtel past months intially good later becomes worst service hear ringing side keep waiting connect unable contact customer service want even though mobile good internet connection use rebtel wifi works totally disappointed service,2
36,excellent app,excellent app,5
37,finally great affordable international phone service,tried international phone services found one offer best quality price ratio ease use sound quality looking long time thanks,5
38,rebtel kind breakthrough…,rebtel kind breakthrough agency based africa make calls world internet low cost,5
39,excellent quality,excellent quality easy use cheap fees,5
40,simple use great voice quality and…,simple use great voice quality dramas,5
41,easy use,easy use pricing bad either well least,5
42,found easy operate and…,found easy operate less costly,5
43,rebtel simple,rebtel simple cheap good,4
44,rebtel,fair good quality fast caring customer support,5
45,simple easy use,simple easy use quality great get pay long live rebtel,5
46,using rebetel since two weeks,using rebetel since two weeks found charged mobile career charge using rebtel app mobile charged £146 using talk time minutes well mobile datai waiting get solved consult lawyer sue fraudelant company please never use rebtel fraud company,1
47,love rebtel,love rebtel easy use pay never problem connecting local numbers highly recommended pricing ease use thank great service,5
48,paypal,started using seems work really well cant pay via paypal bit hassle would stars could,4
49,worst service ever,worst service ever money deducted even dont connect phone calling lost £5 whilst trying call mobile africa didnt connect directed number kept hold,1
50,thanks rebel team,thanks rebel team,5
51,super cost effecient user friendly,super budget user friendly,5
52,really think good app,really think good app able communicate loved ones outside us exactly recommend others thank,5
53,quality service right price,excellent services quality admirable,5
54,fast reliable,fast reliable,5
55,good choice,good choice recommend friends,5
56,excellent service high quality…,excellent service high quality calling families friends thak guys faithful show easy connect family,5
57,excellent price,excellent price works every time cant ask,5
58,rebtel app exellentit super fast…,rebtel app exellentit super fast using app since 2017 try regret,5
59,great easy use,great easy use would great prices getting lower would recommend everyone use give five stars,4
60,good service,good service making international phone calls good voice quality interruptions recommended international calls,5
61,best…,best,5
62,awesome app,awesome app service overall,4
63,powerful,powerful indeed,5
64,absolute breeze easy use…,absolute breeze easy use site best site international calls somewhat delay us speaking thats expected different countries rebtel use best method transferring calls wifi data telephone lines £4 challenge anyone find cheaper option,5
65,great simple easy use service,great simple easy use service transparent pricing easy top faultless really great app stars,5
66,good voice communication,good voice communication,5
67,perfect option call parents germany,easy use crystal clear line competitive pricing,5
68,crazy things ever seen,crazy things ever seen permeation charged card going talk issue respond spanish language company took money times provide international phone calls credit,1
69,excellent pricing updated app which…,excellent pricing updated app much useful cost savings international trips,5
70,easy reliable,easy reliable,5
71,wicked,wicked crystal clear lines,5
72,great app international calls,lovely app international calls would definitely recommend,5
73,love using rebtel,love using rebtel easier use love call quality,5
74,excellent service reasonable cost,excellent service reasonable cost app easy navigate,5
75,best application service,best application service,5
76,hi good application call…,hi good application call worldwide quality callnetwork averagehighly recommend itthank rebtel,5
77,efficient reliable service…,efficient reliable service low costs perfect calls,5
78,easy communicate people far…,easy communicate people far away us especially sound clear,5
79,direct simple userfriendly very…,direct simple userfriendly good prices,5
80,excellent,excellentiwould like touch companythanks,5
81,good app,good app,5
82,never moment regret…,never moment regret rebtel efficient reliable app user friendly best send top ups friends family comfort space need phone fingers cooool,5
83,easy,easy cheap comfortable,5
84,recommended use,recommended use,5
85,satisfied app,satisfied app thing would make better offered texting,5
86,nice lovely service,nice lovely service,5
87,brilliant amazing cost effective,brilliant amazing cost effective,5
88,good,good reliable,5
89,time waster calling company,hi good rebtel receiver dont hear bought time called many time every time speak properly hear hear every time cut money totally wasted money time called showing calling bangladesh fake ringing stop business cant give service play customer,1
90,one best best,one best best simple reliable rewarding affordable,5
91,good app calling good…,good app calling good customer services,5
92,charged twice transaction restricted claimed,used rebtel add funds family phones cuba different promotions rebtel cubacel cuba provider however february 2019 made transaction rebtel didnt process whatever reason got automatic response saying couldnt process moment waited tried processed fine checked bank statement found charged twice called bank cancelled one transactions forgot,1
93,app cool call rate is…,app cool call rate fantastici believe get better,4
94,easy use,easy setup low charges smooth integration android caller,5
95,great service great price no…,great service great price monthly fees,5
96,great,iv great experience rebel helps lot contact family sudan military regime blocked internet,4
97,able communicate your…,able communicate loved ones anywhere anytime quite affordable,5
98,good price,good price good quality,5
99,rebtel quick,rebtel quick clear cheap,5
100,double charged rebtel the…,double charged rebtel day disputed charge bank directly direct line call customer service rebtel blocked account despite first payment made entire month customer care finally replies saying need show proof bank remove dispute contacted customer service supposed trust customer service mercy someone replying emails rather getting immediate resolution sure people miss double charges small amounts like 10 unless check card statements closely poor experience lot times call drops,1
101,rebtel best super fast app,rebtel best super fast app,5
102,cheap convenient use,cheap convenient use,5
103,rebtel messing around lot,rebtel messing around lot unfortunately see issues resolved noone answering emails number call im forced come another review issues solved,1
104,experience rebtel,top line terms voice clarity easy dial anytime price literally nothing best services customer gets highly recommend customers like use rebtel,5
105,good,good time good,5
106,great app,great app ive used ones compare quality rebtel,5
107,really unlimited announced,really unlimited announced,3
108,abrar,find good,5
109,usefull,usefull,5
110,dail number australia…,dail number australia call rings computer girl says something able understand saying nd call doesnt connect anyone tell connect call,1
111,satisfied using rebtel could…,satisfied using rebtel could communicate well family friends worldwide satisfied well hear clearly,5
112,easy use,easy use connection really good,5
113,great resource unlimited india…,great resource unlimited india xalling without internet,4
114,use call abroad rebtel i…,use call abroad rebtel happy service last friday got shocked see consecutive days charged £7 top usually pay whole month £7,1
115,rebtel fantastic platform trial…,rebtel fantastic platform trial convince anyone tried disappointed,5
116,international calls less price,international calls less price,5
117,free months,free monthsnew cel phone,5
118,great service,great service,5
119,excellent voice quality,excellent voice quality,5
120,last 15 days using rebtel…,last 15 days using rebtel till experienced problem woth service 10dollars spend month,5
121,phone loves one good contacting…,phone loves one good contacting good price,5
122,app fraudulent,app fraudulent keep applying autotop even disable,1
123,far best,far best signal good calling trick enable auto pay also charge ridiculous fees unaware never using get refund,1
124,great app pricing,great app pricing,5
125,works,works great value great quality calls,5
126,fantastic application overseas…,fantastic application overseas calls fabulous sound quality really worth app usage recent days appreciated thanks,5
127,easy use,easy use voice clarity 100 highly reliable however appreciate price lowered bit,4
128,affordable easy use,affordable easy use,5
129,easy cheap,easy cheap,5
130,usage rebtel good and…,usage rebtel good review good application better services one stay outside home town got better application call people home town definitely recommend rebtel application everyone thank rebtel thank team looking better good service common people afford prices thank thank much,5
131,great,great good,5
132,easy use,easy use cheap lovely,5
133,good service,good quality audio local carriers pricing bad,4
134,rebtel services reliable you…,rebtel services reliable join regret good money used calling app always nigeria,5
135,scam alart,scam alart sell credit card personal information online dark web hours uploading credit info app soneone states began using card scam dont use rebtel,1
136,experienced problem calls i…,experienced problem calls making africa start going one person call first morning complained nothing done cancelled original account reregistered option problems encountered new registration,4
137,overseas calls economically easy,ama newcomer little hesitant originally convinced good move inevitably save money ways made calls query send another time,5
138,great quality calls good pricing,great quality calls good pricing,5
139,first try,first try great purchased credit never get call even,3
140,love,complaints recommend paying fixed fees unlimited international calls use,5
141,excellent user interface call…,excellent user interface call quality highly recommended,5
142,good,good like,5
143,scam alert avoid,poorest customer service experience ever purchased call credits companyref1767963 although charged card delivered half credit sure happened emailed said referred correct department however nothing heard stopped responding emails updates advice avoid scam,1
144,28min when…,28min call hear sound 7€ rebtel money plz send back want use anymore rebtel app,1
145,happy service far,happy service far recommended friend daughter used service year trusted opinion glad paid,5
146,rebtel exceeds expectations based on…,rebtel exceeds expectations based similar service providers used well done rebtel team,5
147,enjoy using help lot,enjoy using help lot use dayit rate high pick hours like use day speak older parents tmthat ttime,4
148,happy service,happy service,4
149,absolute nightmare ignorance law worst customer service imaginable,short version,1
150,contact uae much cheaper,fabulous value money,5
151,excellent call quality,excellent call quality staying canada call family india daily rates low compared service providers recommend,5
152,love app cheap calling app,love app cheap calling app,5
153,hardly could connect calls voices…,hardly could connect calls voices comes twice hard listen wont recommend use,2
154,easy use,easy use quality connection price service,5
155,helpful people to…,helpful people make international calls,4
156,rebtel cool,managed connect international friends relatively low airtime call quality good dont really like fact buy airtime anywhere offline case hold card buy online,4
157,great value great service,easy use great value provides great service calling abroad minimal cost,5
158,rebtel uses crédit main…,rebtel uses crédit main account eg 7€ vodafone acc load 8€ rebtel speak 16mins 8€ rebtel plus 7€ vodafone gone loaded 8€ sons phone 0€ vodafone balance cant use thats theft,1
159,good,good service voice clear,4
160,rebtel straight forward company…,rebtel straight forward company hidden agendas ways charge call qualities excellent app features great calling cards stop enough say best,4
161,totally disappointed…,totally disappointed app services see offer 20 minute £1 united arab emirates pay pay pal check app account money credit asking buy credit try contact phone live chat message send message get back reply please download active app ready app downloaded explain story worth,1
162,fast service,fast service,5
163,great app,great app stranded visa issue installed rebtel able call foreign immigration office cleared issue ended travelling,5
164,excellent,excellent easy use good price,5
165,quality cheap price,quality cheap price,5
166,easy use call service very…,easy use call service reasonably priced call rates,5
167,cuality product high and…,cuality product high price low,5
168,worth spent rebtel,worth spent rebtel,5
169,good service,good service,5
170,clear calls,clear calls cheaper awsome experience,5
171,love talk friends makes…,love talk friends makes possible,5
172,great value money really helpful customer service,great value money really helpful dedicated customer service case need almost 1y technical issues first time customer services worked timely manner resolve good communication throughout,5
173,really useless service,really useless service downloaded app signed call jamaica account restricted first call going back forth support team email account still restricted looking reliable service provider,1
174,good application international…,good application international calling,5
175,misleading friend invite offer,sent invite mentioned friend get credit £8 actual link generated message,1
176,rebtel great,using call usa india pocket friendly great quality,5
177,international calling revolution,ok comes international calling unbeatable price doesnt rely use data make calls,5
178,unlimited talk time very…,unlimited talk time accommodable fixed monthly fee,5
179,great app,great app easy use fair pricing overseas call clear reception,5
180,works better expected,works better expected,5
181,disappointed using rebtel first time,disappointed using application paid credit card didnt money application use,2
182,thanks updating,thanks updating,5
183,smooth,smooth effortless good call quality integrates well android 80 platform,4
184,pretty simple use the…,pretty simple use connections clear reliable everyone try told couple friends testify reliability,5
185,perfekt professionell,perfekt professionell,5
186,clarity reliability,excellent professional platform connect people world enjoying using rebtel service would intend keep using future people want call abroad country would strongly recommend use platform,5
187,love rebtel app,love rebtel app,5
188,love,love guys fantastic,5
189,clear network,clear network easy use,5
190,excellent call quality,excellent call quality great value,5
191,easy use good quality call low rates,rebtel easy use app easy dial contacts number pad makes reliable connections mainly use rebtel call india uk observed call drops audio quality issues along low call rate,5
192,canadian live russia,canadian live russia would cost fortune call ld family refuses use fb apps thank god app cheap easy use,5
193,great service cheap and…,great service cheap easy use unlimited calling ur loved ones,5
194,efficient service delivery,efficient service delivery love rebtel,5
195,great service,great service easy use call landline cheap,5
196,expensive call call number,thought rebtel call nepal germany cheaper expensive costs 17 cents per minute call call available cents per minute avoid want call germany nepal try call call number first opt expensive rebtel many call call numbers available,1
197,bad app,bad app voice never clear gon na stop using would recommend close ones,1
198,work know…,work know,1
199,great,great using rebtel years easy use clearly communicating recommend family friends,5
200,simply great,simply great,5
201,efficient,efficient connecting everywhere nice apps,4
202,easy use easy recharge with…,easy use easy recharge good quality,5
203,good service,good service,5
204,like,like good company,5
205,like quality,like quality,5
206,awesome company calls…,awesome company calls clear thing barely deals offer customers bonuses,5
207,great price easy use keeps,great price easy use keeps touch emails,5
208,nice good quality,nice good quality,5
209,cheap excellent quality,cheap excellent quality really recommend,5
210,working fine purpose i…,working fine purpose bought totally mark voice clear call drop issues recommend use regret,5
211,cheap easy use,cheap easy use,5
212,voice quality good rebtel used…,voice quality good rebtel used increase rate100 time time country service,4
213,good service,good service foolishly paid last months,1
214,love,easy use app great customer service questions always problems solve right away,5
215,first time phone call filled im…,first time phone call filled im home country,5
216,made money transfer rebtel…,made money transfer rebtel weeks ago till today money delivered receiver account furious sending money matter emergency disappointed communicated technical crew said might invalid account number true using account number long money transfer company said would refund money days ago till still waiting get refund allow anyone anymore let alone big mistake,1
217,good experience,good experience,5
218,new interface difficult use,new interface difficult use doesnt show access contact lists send top option confusing wanted send credit friends rebtel account mobile phone doesnt credit card whole thing inaccessible dont know nauta explanatory video explains nothing wonder dont use product,2
219,rebtel excellent phone app,set hardest part waiting get confirmation code everything set everything ran smoothly call quality excellent calls dropped happy use rebtel find better skype,5
220,im happy searched found this…,im happy searched found app extremely easy use extremely user friendly price right able make internatioal calls,5
221,great quality value customers,great quality value customers,5
222,exceptional service competitive price,easy use interface cheap rates must try service international calling,5
223,got bas thing,got bas thing phone switched hand still tee could hear ringing tone give error like connect ring probably think person hand answering rather knowing heshe switched phone,1
224,great service,great service easy use prices international calling quite reasonable,5
225,friendly users,friendly users,5
226,unproffesional,rebtel discontinued service offering country number deactivated credit card still charged,1
227,love,love,5
228,think rebtel scammed,downloaded rebtel paid 10 says total balance 000 checked bank app charged 10 credit rebtel app make call rebtel sent email saying automatically charge 10 monthi ripped,1
229,easy setup useexcellent value…,easy setup useexcellent value money,5
230,rebtel convenient use fast…,rebtel convenient use fast means sending recharge also offers great price recharge mobile number abroad,4
231,rebtel amazing app,rebtel amazing app call experience amazing never problem call quality prices also compatible,5
232,good value money,good app international call rates cheaper provider seen,5
233,pricing quality one beat…,pricing quality one beat rebtel,5
234,excellent customer service,excellent customer service high quality services quick delivery,5
235,excellent,excellent good value money,5
236,great concept,great concept easy usability decent pricing good customer support highly recommended,5
237,quality low price,quality low price,5
238,rebtel excellent,rebtel excellent recommend every body know,5
239,good usefull service,good usefull service one alternative telecom company,5
240,best app ever,best app ever,5
241,best service,best service,5
242,nice app good job thank,nice app good job thank,5
243,convenient easy use and…,convenient easy use helps save money calling family members whatsapp face book family member recommended service trying reach sick family member,4
244,easy phone kenya reasonable,easy phone kenya reasonable,5
245,since using rebtel hasnt…,since using rebtel hasnt given problem always accurate faster ever imagine really recommend app best,5
246,thx rebtel,thx rebtel great service,5
247,truly helpful,truly helpful,5
248,current issue sending…,current issue sending recharge cuba send time rebtel receive minute right almost hour receive recharge yet thank,5
249,customer relation service pathetic,service updated message clear,1
250,excellent rate,excellent rate,5
251,hi good morning,hi good morning,3
252,like way send the…,like way send communication credit back home thank great job,5
253,happy far good connections,happy far good connections,5
254,scam scam,scam scam stay away group waste urs time money trap customers banned conduct calling business intenationally,1
255,called austria using rabtel 9…,called austria using rebtel minutes deduct us dollars account websites shows 1cent per minutes austria terrible service trying rap money recommended,1
256,amazing access make call home country,amazing access call offices home country studying usa reach calling really helps especially something really urgent,5
257,brilliant service,brilliant service,5
258,never problems,never problems good topup fees recommend everyone,5
259,better rate better price service good,better rate better price service good,5
260,bad customer service,always happy customer rebtel however question something support writes ridiculous responses assume messages read maybe lack language knowledge recently figured austria eliminated subscription question simple happened subscription received lousy response told make payment true subscription automatically deducted credit card fact rebtel eliminated austria portugal etc subscription without notification happen disappointing expect apparently professional provider way much better support copy pasting responding make sense upset customers customers look companies makes sense,2
261,loyal customer last yrs…,loyal customer last yrs happy 10 per month unlimited believe reasonable moreover recently added 53 global countries believe extremely good move,5
262,stop ripping people,damn rebtel ripping us see buy worth 10 load think pay exact amount charge 14 change like medamn gon na last time buy load finish load deleted apps phone,1
263,offer test service,offer test service doesnt connect asks buy discounted minutes,1
264,excellent services customer service…,excellent services customer service quality,5
265,best app international…,best app international calling even better competitive pricing plans,5
266,calling card exceptional,calling card exceptional know experience using different kinds best far trusted,5
267,disappointedthey keep…,disappointedthey keep charging card services use upset trust rebtel anymore refund 10,1
268,great call quality,great call quality good subscription prices great customer service everythings perfect seems incredible,5
269,revolutionary application,revolutionary application,5
270,using rebel us call and…,using rebel us call phone,5
271,rebtel months,rebtel months call colombia time landline cell phones cant beat price great service,5
272,great application,cheap reliable stable,5
273,voice quality good price is…,voice quality good price right cad per month calling canada india,5
274,good system good prices,decent system app works well pricing sterling uk users huge plus get charged exactly see screen fees exchange rate surprised great,5
275,recommend rebtel,really good app,5
276,brilliant app,easy make phone calls either using app access number price reasonable line clear highly recommend needs make regular international calls,5
277,waste money,waste money cant recognize whether call gone default ring keep beeping dial number sound quality poor using almost years email many times rebtel support error recieved automated reply,1
278,high quality easy use…,high quality easy use affordable,4
279,best carrier,absolutely delay connection usa indiacalls economical good qualityconnection billing hassle far adding currency helpful looking forward sending money india,5
280,using 3yrs,using 3yrs best rates network performance complains quite happy,5
281,cheap,cheap clear affordable dependable means communication,5
282,nice good easy use,nice good easy use,5
283,great product,great product excellent service amazing pricing,5
284,rebtel good calling africa is…,rebtel good calling africa experience far,5
285,word rebtel,one app according world touch anyone anywhere anytime nothing describe app rebtel team,5
286,rebtel,good service good offers great experience,5
287,reliable convinient service…,reliable convinient service providers would lovely monthly subscription ghanaian numbers,5
288,awesome service,quality call clear,5
289,lovely app,lovely app issues long good wifi cellular connection,5
290,comment,good fast cheap,5
291,rebtel savior comes…,rebtel savior comes cost calls family back ghana rate far best industry know,5
292,app anyone wants to…,app anyone wants make high quality international calls,5
293,excellent international calling app and…,excellent international calling app service simple set great introductory offer use call bangladesh ive problems also tells local timeof destination country,5
294,rebtel easy use dependable,rebtel easy use technical support fast work problem solved like fact rebtel charge extra top also correspondence language english companies spanish pain behind translate everything rebtel way communicate loved ones thank rebtel,5
295,rebtel best signal any…,rebtel best signal country world pick pick times,5
296,good service affordable price,really good quality calls connecting people loved ones abroad,4
297,rebtel best,rebtel best,5
298,best ever calling app,best ever calling app used many calling app last 10 year rebtel calling app ever highly recommend,5
299,effective efficiently run app,effective efficiently run app saves alot stress,5
300,us family members…,us family members countries rebtel makes easy keep touch great price perfect signal,5
301,rebtel quality,love service quality rendered rebtel make connected family india,5
302,honestly say im satisfy with…,honestly say im satisfy rebtel great offers best best,5
303,using rebtel quite weeks…,using rebtel quite weeks working perfect issues suddenly today call number 8003616106 get error message stating app connect please check number try,2
304,charging ringing unanswered calls,service almost good happy since charge call ringing even though call answered remember calls keep ringing even though phone ringing,3
305,good quality service lots of…,good quality service lots flexibility,5
306,rebtel cheap way call home from…,rebtel cheap way call kenya germany even though sometimes tricky know phone subscriber reachable dial tone overall though far find rebtel cheap clear connectivity customer support open criticism promptly respond dissatisfaction,4
307,complaints,complaints fast connection,5
308,terrible customer service,terrible customer service human available located europe account functioning properly got computer generated messages months provided help could add contacts zero help provided practically customer support one pays rebtels mercy,1
309,la peor de las experiencias worst experiences,la aplicación se equivoca es una situación que ha pasado repetidamente lo mismo envían doble una recarga que la envían otro numero pésima atención al cliente te hacen perder dinero te devuelven nada ni siquiera te atienden directamente tienen ninguna ética profesional le interesan para nada sus clientes la peor de las experiencias,1
310,excellent service,excellent service best prices recommend,5
311,best calling abroad app,sound delay cheap enough,5
312,find rebtel gives connection when…,find rebtel gives connection planettalk viber however reception grainy grateful connection poor,3
313,purchased £5 air time but…,purchased £5 air time time make call ask enter number even though numbers contact list,1
314,try know urself,try know urself additional pin access numbers required calls made directly phone contact list far easiest way make international calls affordable rates,5
315,rebtel reliable,rebtel reliable fast user friendly offers convenience switching options regular line data wifi,5
316,simply avoid,unbelievable company poland…,1
317,false advertising account restricted soon pay,fristly falsley advertised get 20min charged 14min restricted account attempting make call sent email responed till deleted app counted losses dont subscribe unless wan lose money,1
318,easy connect people,easy connect people,5
319,rebtel trash,rebtel trash,1
320,love service,year still love service,5
321,affordable issues low networks,affordable low networks issues calls drop wont connect,4
322,hi musing rebel two yrs today didnt allow call said bank details looking changed plan unlimited india calls global unlimited,hi changed plan today global unlimited put bank details started couple hours took £8 previous plan happy want global unlimited plan refund credit £8 please,5
323,good service,good service,5
324,best calling app,best calling app vouch forsimple interface makes ur calling smooth experiencego im sure regret,5
325,average ok,average ok little expensive,3
326,easy operate pay too…,easy operate pay much time taken connect end paying 60 seconds nontalk time call,4
327,canceled uninstalled rebtel…,canceled uninstalled rebtel app continued charge last 11 months asked refund refused robtel stay away company sneaky,1
328,nice clear voice result,nice clear voice result,5
329,iam happy finally doing…,iam happy finally business reptel customer friendly matters relating long distance calls wish long distance facility managed top efficient manner ever,5
330,good product,happy find goodexcellent product based current short use,5
331,easy straight forward,easy straight forward use customer friendly,5
332,great app call family friends,great app call family friends always trusted partner,5
333,simply good,simply good got service ever expecting,5
334,perfect experience,perfect experience international calling without hassle,5
335,exceptional,clear affordable,5
336,perfect network everyone,perfect network everyone,5
337,works really well,works really well fluid conversation aus ita still bit concern minutes counted credit minutes minutes available call phone completely match,4
338,really fantastic helpful,really fantastic helpful,5
339,great connection,great connection fair prices could ive ask keep guys,5
340,didnt understand aud 10 was…,didnt understand aud 10 deducted account authorised aud made suspicious,3
341,thank uuuu reptel,thank uuuu reptel,5
342,rebtel absolutely best seen…,rebtel absolutely best seen used far next work clear perfect mind free credit next time😜 winks thanks satisfying customers,5
343,best dire calls application service…,best dire calls application service seamlessly connects callers worldwide extremely unbelievably low cost,5
344,best calling abroad for…,best calling abroad abroad five starts,5
345,good service price you…,good service price pay,4
346,voice problem,installed rebtel today hour ago initially came 7days free trial giving card information tried call india uae parties cant hear even able hear ring tone anybody help enable voice hearing followed reviews believed great app calling help trouble shoot case,1
347,yes recommend company to…,yes recommend company someone nice app international callings cheap,5
348,rebtel call quality good stable,rebtel call quality good stable would great customer chat call facility queries easy buy credit make calls still query buy unlimited calling india make calls malaysia indonesia local calls sg,4
349,great service sale,great service sale,5
350,experience using rebtel,rebtel call rate cheap,5
351,cheap easy,cheap easy,5
352,started using write…,started using write review moment,4
353,excellent service,excellent service,5
354,best international call service,service flawless super clear calls plus cheap,5
355,fully happy,fully happy 🙂👍,4
356,rebtel works really simple,using different international calling card every time made call dropped rebtel worksit really simple switch happy,5
357,sound call zimbabwe was…,sound call zimbabwe low even though interference,3
358,phone call clarity quite excellent,phone call clarity quite excellent think charges reasonable helps minutes left visible time,4
359,worse system,worse system trying de activate unlimited subscription option deactivate cancel asking help support response also referral credit receive really unbelievable still waiting response support group,1
360,excellent extraordinarily,excellent extraordinary,5
361,clear talking anyone and…,clear talking anyone instant connection,5
362,awesome rate connection of…,awesome rate connection time perfect thank helping keep touch loved ones,5
363,good app,good app even price high calling cameroon,5
364,cheap effective complications or…,cheap effective complications contracts,5
365,cheapest easy,cheapest installed appwe call without sim mobile,5
366,find expensive thought was…,find expensive thought 27p third top 35p muchl think go back old way phoning🤔,3
367,great clear,great clear,4
368,excellent connection reasonably,excellent reception service,5
369,excellent service,good service excellent connection,5
370,service great could not…,service great could figure payment going frequency amount covers,4
371,personally eliminated app…,personally eliminated app stayed redtel good hidden charges customer service excellent,4
372,great app clear calls,great app clear calls easy use,5
373,good experience,good experience service without background noise interruption call many minutes conversation reasonable cost excellent long distance contacts,5
374,£5 per month plan calling germany to…,£5 per month plan calling germany mobile landline numbers great service good connection,5
375,intermediate experience,experience rebtel good sometimes call disconnected rebtel deduct 13 account every month instead 10,4
376,rebtel fraude already…,rebtel fraude already recharged india unlimited calls charged world credit required even even though deducted 10 india credit 17 decthey charged 22dec,1
377,rebtel good,rebtel good,5
378,cheap calls,calling zimbabwe really expensive thanks rebtel could talk longer family much longer,5
379,changes signed,testing time phone calls communications great soon started paying regularly phone calls drop often sound quality best sure going keep services anymore,3
380,call uk america time…,call uk america time quality calls good 80 time price quality rebtel great tool service great customer service well,4
381,better audio quality using phone…,better audio quality using phone cards sure sometimes would get disconnected phone call regarding minutes though plenty world minutes remaining,3
382,fast efficient cheaper call,fast efficient cheaper way make international local call loved ones,5
383,rental best connections,rental best connections,5
384,excellent,excellent quality,5
385,great experience first…,great experience first callafter tried dialing correct numberlol far satisfied delays communications,5
386,using days,using days minor connection issues hang redial issues resolved,5
387,excellent,excellent service,5
388,aweomeno words,awesomeno words,5
389,excellent service provider,excellent service provider,5
390,great experience using rebtel,great experience using rebtel,5
391,excellence,excellence,5
392,happy service,much enjoy using rebtel quality fantastic able ring friends family back home mobile means ring anytime anywhere speak long want,5
393,like way team respond fast…,like way team respond fast received results expected,5
394,ok,bought unlimite didnt find bout country use part calling area endup refund purchased 10 calling amount 25 cents mintue expensive call kind clear expensive,3
395,clear voice,clear voice talk much near dear ones,5
396,like app,like app really easy use good network,5
397,app says 10 balance edit customer service resolved issue,app says 10 balance contact says 15 minutes available call calling cuba 65 cents minute call voice comes saying minutes frustrating,5
398,nice app easy use good network,nice app easy use good network,5
399,calls clear ease of…,calls clear ease use smartphone app really cool,5
400,good service,good service,5
401,better,better ive benefited,5
402,unknown caller end,sometimes number one registered doesnt show country customers receiving calls ok,4
403,getting good reception,getting good reception,3
404,love proactive response my…,love proactive response issues guys great customer relation generates customers satisfaction product give stars,5
405,perfect,perfect thanks,5
406,like customer service because…,like customer service email like talk business phone,1
407,good,good excellent recommended,5
408,rebtel calls,low rates calls assurance call actually ringing end,4
409,best experience,best experience intuitive app seamless dialing experience great call qualityoverall love,5
410,fast service,fast service,5
411,best app international calling,rebtel serves international calling needs reasonable price also rebtel services great good quality network availability across everywhere good thing connect via wifi also anywhere calling travelling using wifi option really helpful without extra cost recommend rebtel everyone away home,5
412,crazy rebtel,crazy rebtel one word fantastic,5
413,good service,good service however providin service lower cost would helpful increase number calls,4
414,great company excellent service,great company excellent service,5
415,working great promised,working great promised big money saver case saved hundreds last month alone international calls thank much,5
416,great customer service,fast response great explanation,5
417,using rebtel week now…,using rebtel week making three calls italy successfully,5
418,nice network clear voice,nice network clear voice,4
419,great everything,great everything,5
420,make calls sure the…,make calls sure call ringing side call going never go voice mail,4
421,perfect,perfect,5
422,excellent,excellent liked sound quality,5
423,first allfor quality the…,first allfor quality phone lineno internet required,5
